brand,year,km_driven,fuel,price
Honda,2007,134528,Electric,1906721
Mahindra,2024,75646,Diesel,639394
Kia,2015,113859,Electric,407165
Mahindra,2007,93542,Petrol,142897
Renault,2019,18046,Petrol,593529
Tata,2024,31826,Petrol,411823
Maruti,2011,104785,Diesel,1836873
Nissan,2024,219801,Diesel,427391
Kia,2020,241126,Electric,1895287
Mahindra,2025,60857,Electric,1413795
Mahindra,2024,60712,Diesel,1789384
Honda,2015,62947,CNG,1141416
Kia,2011,158744,Electric,1574865
Tata,2007,37613,CNG,1903355
Nissan,2009,127288,Electric,233403
Renault,2017,122511,Diesel,1637696
Renault,2014,146247,CNG,1677769
Maruti,2025,139476,Petrol,1726450
Tata,2018,177443,Diesel,691766
Mahindra,2011,19365,CNG,1588903
Ford,2012,128492,CNG,1667523
Renault,2015,228899,Electric,1649293
Mahindra,2017,140587,Diesel,1219506
Renault,2018,218386,CNG,1031699
Honda,2005,127011,Diesel,1206636
Maruti,2013,90320,Diesel,1059069
Honda,2025,71424,CNG,618848
Maruti,2020,210853,CNG,802111
Hyundai,2020,143679,Petrol,1126624
Renault,2011,7150,Petrol,942108
Renault,2006,189659,Electric,1019699
Maruti,2007,243318,Electric,876837
Hyundai,2008,104305,Petrol,1288392
Honda,2023,223947,Electric,1527538
Ford,2009,151131,CNG,909641
Nissan,2014,141936,CNG,122802
Renault,2023,197021,Diesel,1461214
Mahindra,2016,46151,Diesel,1191796
Tata,2012,72924,Electric,1164854
Tata,2016,154945,Electric,840192
Renault,2010,130168,Electric,1333467
Nissan,2025,216890,Petrol,1993104
Renault,2007,230961,Diesel,650441
Ford,2016,145584,Electric,367469
Hyundai,2005,45681,Diesel,1214424
Renault,2018,94933,CNG,1061545
Tata,2012,211699,CNG,782246
Toyota,2021,241831,Diesel,1351092
Hyundai,2012,232633,Electric,1511956
Renault,2006,193120,CNG,917746
Nissan,2023,98503,Electric,1192412
Honda,2022,216986,CNG,1092363
Mahindra,2012,41110,Electric,1353763
Ford,2010,169282,CNG,912249
Honda,2012,202925,Electric,251961
Honda,2019,192893,Electric,1986387
Mahindra,2010,49602,Petrol,707372
Renault,2019,126275,Petrol,1049240
Tata,2007,230712,CNG,532027
